id	age	sex	marital	children	educ	source	smoke	smokenum	lotr1	lotr2	lotr3	lotr4	lotr5	lotr6	mastery1	mastery2	mastery3	mastery4	mastery5	mastery6	mastery7	panas1	panas2	panas3	panas4	panas5	panas6	panas7	panas8	panas9	panas10	panas11	panas12	panas13	panas14	panas15	panas16	panas17	panas18	panas19	panas20	swls1	swls2	swls3	swls4	swls5	pss1	pss2	pss3	pss4	pss5	pss6	pss7	pss8	pss9	pss10	rses1	rses2	rses3	rses4	rses5	rses6	rses7	rses8	rses9	rses10
27	48	female	remarried	yes	some additional training	work	no	0	3	3	3	3	2	4	3	3	3	3	3	3	4	4	5	5	4	1	2	3	5	3	5	5	2	3	5	4	2	3	3	5	3	3	5	5	5	1	5	4	5	3	3	5	3	3	2	4	4	4	2	4	3	3	3	1	2	2
28	24	female	single	no	some additional training	work	no	0	3	1	4	2	1	5	3	4	2	2	3	3	4	3	5	4	3	1	4	3	5	4	3	3	2	4	4	3	2	3	4	5	5	6	5	7	5	4	3	3	4	3	4	3	3	4	4	4	4	4	1	4	1	3	3	2	2	1
29	25	male	single	no	undergraduate degree	work	no	0	3	3	4	2	3	4	2	3	1	1	3	2	2	3	1	1	2	2	2	2	2	2	1	3	1	1	1	2	2	2	4	1	1	5	6	5	5	4	1	2	3	4	3	2	5	3	2	1	4	4	1	4	1	3	4	1	2	1
30	47	female	married first time	yes	high school	money/finances	no	0	2	5	2	5	4	4	4	2	3	4	3	3	2	2	4	1	1	1	3	1	2	1	2	4	1	2	1	1	1	1	1	3	3	1	1	1	1	1	3	4	4	3	2	3	4	4	4	3	2	2	2	2	2	1	2	3	4	3
31	18	male	single	no	high school	life in general	no	0	4	1	5	1	1	5	1	2	1	1	2	3	1	1	5	4	5	1	5	5	5	1	5	5	1	2	4	1	1	1	5	1	1	7	7	5	7	1	5	4	2	4	3	1	5	3	1	4	4	4	2	3	1	2	2	4	4	2
32	24	female	married first time	no	some additional training	work	yes	150	2	5	3	5	5	1	3	2	3	3	2	4	4	3	5	4	1	1	1	2	5	1	3	3	1	2	2	2	1	3	2	4	4	2	2	3	1	3	4	4	5	2	2	3	3	2	5	5	3	3	2	3	3	2	2	4	4	2
33	36	male	married first time	yes	some additional training	money/finances	no	0	3	1	3	1	4	4	2	4	3	1	3	3	2	4	2	1	1	1	3	4	1	3	2	2	1	3	1	1	1	3	4	1	1	5	5	5	7	5	2	1	2	5	4	2	4	5	2	1	4	4	1	3	1	3	3	3	1	1
34	49	female	remarried	yes	some secondary school	family	no	0	4	1	4	1	2	5	2	4	1	2	4	1	1	3	3	1	4	1	3	2	1	3	1	2	2	2	1	2	1	2	1	2	1	5	5	5	5	5	2	2	3	4	4	1	4	4	1	1	3	3	1	3	1	3	3	2	1	1
35	21	female	steady relationship	no	undergraduate degree	work	no	0	4	1	3	1	1	4	1	4	1	1	4	1	3	2	1	1	3	1	3	1	4	2	2	3	1	3	1	3	3	2	2	2	2	6	6	6	6	3	2	2	3	4	4	2	4	4	2	2	4	4	1	4	1	4	3	1	1	1
36	45	female	remarried	yes	some additional training	work	yes	30	2	5	2	5	1	5	3	4	1	1	4	1	2	5	1	1	4	1	5	5	1	5	1	1	5	4	1	4	1	5	4	1	1	1	7	7	7	5	2	2	4	5	4	4	4	4	4	4	4	4	1	1	1	4	4	1	1	1
37	18	male	single	no	high school	friendships	no	0	3	4	3	2	3	4	3	4	2	4	4	2	2	2	1	1	2	1	3	3	1	2	1	1	1	1	1	3	1	2	2	1	1	3	6	6	5	5	2	3	2	3	2	2	3	3	3	2	4	4	1	4	2	4	4	2	1	1
38	45	female	remarried	no	some additional training	life in general	no	0	2	3	1	3	3	4	1	2	3	2	3	2	2	2	4	4	3	1	2	2	4	2	1	2	1	1	2	1	1	1	1	3	1	6	6	6	6	6	3	3	3	4	3	3	4	4	4	3	3	3	1	3	2	3	2	3	1	1
39	69	male	married first time	no	some secondary school	health/illness	no	0	4	1	3	3	4	4	2	3	3	3	3	3	3	4	4	4	4	3	4	3	3	3	4	4	1	4	4	2	2	4	4	4	5	6	5	6	3	6	3	4	4	4	4	4	3	3	4	4	4	4	3	3	2	3	3	3	3	2
40	33	male	single	no	undergraduate degree	work	no	0	4	1	4	1	1	5	2	3	2	2	4	1	4	5	5	2	5	2	4	3	3	2	3	5	5	5	2	5	1	5	5	5	3	1	1	1	1	1	4	3	4	4	3	3	3	3	3	3	4	4	2	4	1	4	1	1	2	2
41	24	female	single	no	undergraduate degree	work	no	0	4	1	4	1	1	5	2	4	2	1	3	2	1	5	1	1	4	1	5	5	1	5	1	1	3	3	1	4	1	5	5	1	1	6	7	7	5	6	1	1	2	5	5	1	4	5	1	1	4	4	1	4	1	4	4	1	1	1
42	22	male	living with partner	no	some secondary school	money/finances	yes	150	2	4	2	5	5	2	3	4	1	1	4	2	4	4	1	1	3	2	5	4	2	3	3	2	4	4	2	5	2	5	3	1	1	2	2	3	2	2	3	3	4	2	2	4	4	3	4	3	3	3	2	4	3	2	2	4	4	4
43	43	female	remarried	no	undergraduate degree	work	no	0	2	4	3	3	2	4	3	3	3	3	3	1	2	4	3	1	2	2	4	3	3	4	2	2	1	4	1	1	2	2	3	1	1	2	6	4	3	4	4	3	3	3	2	4	2	2	4	4	3	3	1	3	1	3	3	1	2	3
44	48	female	married first time	no	high school	friendships	no	0	5	1	5	1	1	5	1	4	1	3	4	1	1	4	1	1	5	1	5	4	1	4	1	1	4	4	1	3	1	4	4	1	1	4	6	6	3	3	1	1	1	5	4	1	5	5	2	1	4	4	1	4	1	4	4	1	1	1
45	30	female	single	no	some additional training	work	yes	25	3	3	3	3	3	4	3	3	2	1	3	3	2	4	3	2	4	2	4	5	2	5	3	2	5	4	2	3	2	4	5	4	4	4	5	4	4	3	3	3	4	3	3	4	3	2	4	4	3	4	2	3	2	3	3	2	3	3
46	46	female	remarried	yes	high school	lack of time	no	0	3	5	5	5	3	4	3	4	4	4	4	2	3	3	4	2	1	1	4	5	2	3	4	4	5	4	1	5	1	5	5	5	5	6	6	6	6	6	4	5	5	4	5	5	3	4	5	5	4	4	1	4	2	3	3	4	4	3
47	24	male	steady relationship	no	undergraduate degree	friendships	no	0	2	3	3	2	2	3	2	3	3	2	4	4	3	4	5	4	2	3	2	1	4	4	3	4	2	2	4	3	4	1	1	4	1	3	3	2	3	1	3	4	4	3	2	4	3	2	4	3	4	4	2	3	3	3	2	3	3	3
48	63	male	married first time	no	undergraduate degree	children	no	0	2	1	4	1	1	5	2	3	1	2	3	1	1	5	1	1	3	1	4	4	1	3	1	1	1	3	1	1	1	3	3	1	1	2	6	5	5	2	3	1	1	5	4	2	5	5	2	1	4	4	1	4	1	4	4	2	1	1
49	20	female	single	no	some additional training	health/illness	no	0	3	5	4	4	4	2	4	2	2	2	2	4	3	2	4	3	2	2	3	4	3	2	2	4	2	2	3	2	3	3	2	2	2	1	2	1	1	1	4	4	4	2	1	4	2	2	4	4	2	2	2	2	2	1	1	2	4	4
50	22	female	steady relationship	no	undergraduate degree	work	no	0	1	4	1	4	4	2	3	4	3	1	3	3	2	5	4	4	2	2	5	3	4	2	5	4	4	3	5	4	4	3	3	2	2	4	3	3	5	5	4	4	3	2	3	3	2	2	5	3	4	3	2	3	2	1	2	4	4	4
51	21	female	steady relationship	no	some secondary school	work	no	0	3	2	3	2	2	3	2	3	1	4	4	1	1	4	4	1	1	1	1	4	2	1	1	2	1	2	1	3	1	3	3	1	2	5	3	3	4	4	2	2	3	4	3	1	4	4	2	1	4	4	1	4	1	2	2	4	1	1
52	37	female	married first time	yes	some additional training	money/finances	yes	2	4	2	4	1	1	5	1	4	1	4	4	1	1	5	1	1	4	1	5	4	1	5	1	3	3	5	1	5	1	4	5	1	1	6	6	6	6	5	2	1	2	5	5	1	5	5	2	1	4	4	1	4	4	3	3	1	4	1
53	39	female	married first time	yes	undergraduate degree	family	no	0	2	4	1	5	4	2	4	2	4	4	2	3	3	2	4	1	1	1	3	5	2	1	3	4	1	1	1	1	1	1	3	1	1	4	3	5	3	1	4	3	3	2	2	3	3	2	4	3	3	3	2	2	2	2	1	3	3	2
54	32	male	living with partner	yes	some additional training	work	no	0	3	1	3	2	1	4	1	3	2	1	4	1	2	3	1	1	3	1	3	3	1	4	1	2	3	4	1	3	1	3	4	1	1	5	5	5	5	3	1	1	1	4	4	1	4	4	1	1	4	4	1	4	1	3	4	1	1	1
55	54	male	married first time	no	undergraduate degree	lack of time	no	0	4	1	4	2	4	5	1	4	1	1	4	1	1	4	1	1	2	1	4	4	1	4	1	1	3	3	1	4	1	5	4	2	1	6	6	7	7	7	1	1	2	5	4	1	5	5	2	1	4	4	1	4	1	4	4	1	1	1
56	27	female	married first time	yes	some secondary school	children	no	0	3	3	5	2	5	2	2	4	1	1	4	4	4	5	5	4	3	1	5	4	5	5	2	4	4	5	4	4	1	3	5	4	1	6	7	5	7	4	3	2	4	4	3	4	4	3	4	4	4	4	1	4	1	2	2	4	3	3
57	21	female	single	no	high school	work	no	0	3	3	4	2	3	4	1	2	3	3	2	1	2	4	4	2	5	1	5	5	4	4	3	1	4	3	2	5	4	5	5	5	3	4	5	5	5	4	2	4	4	3	3	2	4	3	3	2	3	4	1	3	1	4	4	1	3	2
58	65	female	divorced	no	some secondary school	life in general	no	0	5	1	5	1	1	5	1	4	1	1	4	1	1	5	1	1	5	1	5	5	2	5	2	2	5	5	1	4	1	4	4	1	1	6	6	6	6	6	3	2	3	2	3	2	4	4	3	3	4	4	1	4	1	4	4	1	1	1
59	32	female	married first time	no	some additional training		no	0	3	3	4	2	1	4	1	4	1	1	4	2	2	4	2	1	1	1	3	4	1	4	1	3	1	1	1	1	1	1	1	1	1	4	4	4	3	2	2	2	2	4	3	2	3	3	2	2	4	4	1	2	1	4	3	3	2	1
60	42	female	married first time	yes	some additional training	money/finances	no	0	4	4	3	3	3	3	3	4	2	2	2	2	2	2	3	1	1	1	1	2	2	2	1	3	2	3	1	1	1	2	3	1	1	3	4	4	1	2	2	3	2	4	2	3	3	3	2	2	4	4	1	3	4	4	3	1	2	1
61	38	male	single	no	undergraduate degree	life in general	no	0	4	4	5	3	5	4	4	4	2	2	4	2	4	5	1	1	4	4	5	5	2	5	5	4	5	5	1	5	1	5	5	2	2	5	4	3	4	2	3	2	3	5	4	3	3	4	3	3	4	4	2	3	1	4	3	4	4	4
62	26	female	single	no	some additional training		no	0	2	1	4	4	4	4	3	3	1	2	3	2	3	2	2	1	2	1	3	4	1	3	1	2	1	2	1	1	1	3	1	1	1	5	5	4	4	2	3	2	3	4	3	3	3	3	4	3	4	4	2	4	1	4	4	1	2	1
63	52	female	remarried	yes	some additional training	lack of time	no	0	4	1	4	1	1	5	3	3	3	3	3	2	1	4	1	2	4	1	5	5	1	4	1	1	5	4	2	4	1	5	4	2	1	7	7	7	7	6	2	5	3	5	4	4	2	4	2	4	4	4	1	3	1	4	4	1	1	1
64	36	female	steady relationship	no	high school	work	no	0	3	4	2	4	3	3	3	2	2	2	3	3	3	2	4	3	2	1	2	1	4	2	3	3	2	2	2	2	2	2	3	5	5	5	5	5	4	2	4	5	5	2	2	3	2	3	3	4	3	3	2	3	2	3	3	3	2	3
65	60	female	married first time	yes	graduate degree	family	no	0	5	4	4	1	1	5	4	2	4	4	2	4	3	4	5	4	2	1	3	3	4	2	3	4	3	4	4	3	3	3	5	4	4	6	3	6	6	2	5	4	4	4	3	4	3	3	4	4	3	3	2	3	1	3	3	3	3	3
66	33	female	married first time	yes	some secondary school	children	no	0	1	5	1	5	5	5	4	2	4	4	4	4	4	3	5	5	1	1	1	5	5	1	1	5	5	1	1	4	5	5	1	5	1	1	2	2	3	1	3	5	5	2	1	2	1	1	1	5	1	2	4	3	4	2	1	4	4	4
67	54	male	married first time	no	some secondary school		no	0	3	3	3	2	2	3	3	2	3	2	2	3	2	4	3	4	4	2	3	5	2	3	4	4	3	3	4	5	3	4	3	4	3	5	6	3	3	2	3	3	3	3	3	2	3	3	4	2	4	4	3	3	3	3	3	2	2	1
68	68	female	divorced	no	high school	family	no	0	5	1	5	1	1	5	1	4	1	1	4	1	1	4	1	1	3	1	5	5	1	3	1	1	5	5	1	2	1	3	5	1	1	7	7	7	7	7	3	1	1	5	5	1	5	5	2	1	4	4	1	4	1	4	4	1	1	1
69	66	female	married first time	no	some secondary school	health/illness	no	0	5	3	4	1	1	4	3	3	4	4	4	3	3	5	2	1	4	1	3	3	1	4	1	2	3	3	2	4	1	4	4	3	1	6	6	7	7	6	4	3	3	3	2	3	3	3	3	4	4	4	1	3	1	4	4	1	1	1
70	24	female	living with partner	no	undergraduate degree	life in general	yes	210	5	1	4	1	1	4	2	4	1	1	4	1	1	4	1	1	4	1	5	5	1	4	1	1	3	4	1	2	1	3	4	1	1	4	6	6	7	2	2	1	4	3	4	5	4	2	2	4	4	4	1	4	1	4	4	1	1	1
71	38	female	single	no	graduate degree	work	no	0	3	1	4	1	1	5	1	4	1	1	4	2	1	5	2	2	3	1	5	4	1	4	1	2	1	4	2	5	2	5	4	2	1	4	5	6	5	4	2	1	2	5	5	2	5	5	3	1	4	4	1	3	1	4	3	1	2	1
72	57	female	married first time	no	some additional training	money/finances	no	0	3	2	5	2	2	4	2	4	2	2	4	4	4	5	1	1	3	1	3	5	1	3	1	1	3	4	1	3	1	3	5	1	1	5	6	4	4	4	3	3	2	4	3	4	3	3	3	3	4	4	2	4	3	4	2	3	4	4
73	50	male	separated	yes	graduate degree	spouse/partner	no	0	3	1	2	3	4	3	2	3	2	2	1	3	2	1	5	3	1	1	3	4	5	3	1	2	1	3	4	2	3	2	3	4	4	2	2	2	2	2	1	4	4	4	3	5	4	2	2	4	4	4	3	4	1	3	3	3	2	2
74	50	male	married first time	yes	graduate degree	work	no	0	3	2	3	2	2	4	1	2	4	1	3	3	2	2	4	3	2	2	3	1	4	1	1	2	1	3	4	3	2	2	1	3	2	3	4	1	3	3	3	3	5	4	4	4	4	3	2	4	2	4	2	2	1	1	2	4	3	3
75	24	female	single	no	some additional training	life in general	yes	150	1	2	4	4	3	3	2	3	3	1	4	2	4	3	1	1	2	2	3	3	2	3	1	2	2	1	1	3	1	2	3	1	1	2	2	3	5	7	3	4	3	3	3	2	3	3	4	3	3	2	2	3	2	2	2	4	4	2
76	46	female	married first time	yes	some secondary school	money/finances	no	0	3	4	5	2	4	4	1	3	3	2	4	2	1	5	5	4	3	2	3	4	4	4	3	3	1	2	3	2	1	3	3	3	1	6	6	6	6	6	4	3	3	4	4	4	4	4	2	1	4	4	1	3	1	4	4	1	1	1
77	70	female	married first time	no	some secondary school	spouse/partner	no	0	5	1	5	1	1	5	3	3	2	4	4	4	4	4	5	1	4	1	2	5	5	4	1	1	3	4	1	1	1	2	3	4	4	2	2	2	2	2	5	5	4	4	3	5	4	3	5	4	4	4	4	3	4	4	4	4	3	2
78	30	female	married first time	yes	some secondary school	family	no	0	2	4	5	4	3	4	4	3	4	1	4	3	1	3	1	4	4	1	2	4	1	3	1	2	1	1	3	4	1	1	3	3	1	5	6	7	7	2	1	1	4	4	4	2	4	4	2	2	4	4	1	4	1	3	3	4	1	1
79	21	female	single	no	high school	work	no	0	4	3	3	2	3	4	2	3	3	2	2	3	2	3	4	4	1	2	4	3	4	2	2	4	3	3	4	4	4	3	3	4	3	3	6	5	5	5	3	3	5	3	3	3	2	2	4	4	4	4	1	3	2	3	3	2	3	3
80	46	female	living with partner	no	some additional training	work	no	0	1	5	1	4	5	2	4	2	4	4	2	4	4	3	3	2	4	1	3	4	3	1	4	4	2	2	2	3	4	2	3	2	1	3	3	3	5	3	3	4	4	2	3	5	2	2	4	4	3	3	2	2	3	2	2	3	4	4
81	58	male	married first time	yes	graduate degree	money/finances	no	0	4	1	4	1	1	4	2	4	1	1	4	1	1	3	1	1	5	1	4	4	1	4	1	1	4	4	1	4	1	4	4	1	1	7	7	7	7	7	1	1	1	2	4	1	5	5	1	1	4	4	1	4	1	4	4	1	2	4
82	23	female	single	no	some additional training	work	no	0	3	2	5	3	2	4	2	4	3	2	3	3	3	4	4	4	4	1	4	3	4	4	1	3	4	3	4	4	1	4	3	4	4	3	4	5	6	4	3	2	4	4	4	2	3	3	3	2	3	4	1	3	1	3	3	1	2	2
83	49	male	married first time	no	graduate degree	work	no	0	3	4	3	4	3	3	2	3	4	2	3	2	3	4	4	3	2	2	4	4	3	3	4	4	2	3	3	3	3	3	3	4	4	2	2	2	2	1	3	3	3	3	3	3	3	2	4	3	4	4	2	3	2	3	3	3	4	2
84	25	female	single	no	undergraduate degree	lack of time	yes	10	4	2	4	1	3	3	2	3	2	2	3	1	1	4	1	1	3	2	2	4	3	4	2	2	3	4	1	4	2	4	4	3	3	6	6	6	6	6	3	2	3	5	5	3	5	5	1	2	4	4	1	4	1	4	4	1	2	1
85	33	male	single	no	some additional training	life in general	yes	200	4	1	4	2	2	5	2	3	3	3	3	1	2	4	1	2	3	1	4	3	1	4	1	3	3	3	1	4	2	3	3	1	1	5	5	5	5	5	1	1	2	5	4	2	5	4	2	2	4	4	1	4	1	3	3	1	1	1
86	32	male	married first time	yes	some additional training	spouse/partner	no	0	3	3	3	3	3	3	3	3	2	2	3	2	2	4	2	1	4	1	4	4	1	1	1	2	3	3	1	1	1	2	2	1	1	6	6	6	6	6	3	3	3	3	3	2	3	3	4	3	3	3	2	3	2	3	3	2	2	2
87	42	male	married first time	yes	some secondary school	life in general	no	0	4	4	4	1	1	4	1	3	1	1	3	1	1	4	1	1	3	1	3	3	1	3	1	1	2	4	1	3	1	2	4	1	1	5	5	5	6	5	1	2	2	4	4	1	4	4	2	1	3	4	1	4	1	4	3	1	2	2
88	26	male	single	no	high school	work	no	0	4	3	5	4	3	4	3	4	1	2	4	1	2	4	3	2	4	1	5	4	2	4	2	3	5	3	1	5	1	4	4	3	2	2	2	2	2	4	2	5	4	4	3	2	4	3	5	4	4	4	1	4	1	4	4	2	2	1
89	25	female	steady relationship	no	graduate degree	health/illness	yes	7	4	1	3	1	2	5	1	3	1	1	4	3	2	4	4	4	4	4	3	2	4	3	3	3	2	2	3	2	2	3	2	3	1	4	6	5	6	7	3	4	4	3	4	2	3	3	4	1	4	4	1	4	1	3	4	4	2	2
90	36	female	married first time	yes	high school	children	no	0	3	3	4	3	1	5	2	4	2	4	4	4	1	5	2	1	4	1	5	5	2	5	3	2	4	4	1	4	2	5	4	1	1	6	6	6	6	4	3	2	4	4	4	3	3	3	4	2	4	4	1	4	1	4	4	1	2	1
91	24	male	single	no	undergraduate degree	work	no	0	4	2	4	2	2	4	2	4	3	2	4	2	2	4	2	1	4	1	3	4	1	4	1	2	3	4	1	4	1	4	3	2	2	5	6	5	4	3	4	4	3	4	4	3	3	3	3	4	4	4	3	2	3	2	2	1	3	2
92	56	female	married first time	no	some additional training		no	0	5	1	5	1	4	5	1	4	1	1	4	1	1	4	1	1	3	1	4	4	1	5	1	1	3	4	1	2	1	4	5	1	1	6	7	7	7	6	1	1	2	2	5	2	5	5	1	1	4	4	1	4	1	4	4	1	1	1
93	40	male	married first time	yes	some secondary school	money/finances	no	0	4	2	4	2	2	4	2	4	1	2	4	2	2	2	4	3	2	1	3	2	3	3	4	4	2	2	3	2	3	2	2	3	3	3	3	3	3	4	3	4	3	3	2	3	3	3	4	4	3	4	2	3	4	4	3	3	2	2
94	36	male	single	no	undergraduate degree	lack of time	no	0	3	1	5	3	1	5	1	4	1	1	1	1	2	4	2	1	4	1	5	4	2	3	1	2	4	4	1	2	1	3	5	2	2	3	3	6	2	2	3	1	2	5	5	3	5	5	2	1	4	4	1	4	1	4	4	1	1	1
95	23	female	living with partner	no	undergraduate degree	work	yes	4	2	1	4	1	3	4	3	3	1	2	4	3	2	5	3	2	3	3	3	3	3	3	2	4	4	3	2	4	2	4	3	1	1	5	6	6	7	7	4	3	4	3	3	5	3	2	3	4	4	4	1	4	2	3	3	2	4	4
