id	age	sex	marital	children	educ	source	smoke	smokenum	lotr1	lotr2	lotr3	lotr4	lotr5	lotr6	mastery1	mastery2	mastery3	mastery4	mastery5	mastery6	mastery7	panas1	panas2	panas3	panas4	panas5	panas6	panas7	panas8	panas9	panas10	panas11	panas12	panas13	panas14	panas15	panas16	panas17	panas18	panas19	panas20	swls1	swls2	swls3	swls4	swls5	pss1	pss2	pss3	pss4	pss5	pss6	pss7	pss8	pss9	pss10	rses1	rses2	rses3	rses4	rses5	rses6	rses7	rses8	rses9	rses10	lotr	mastery	pss	rses	posaff	negaff
24	36	female	separated	yes	some secondary school	work	no	0	2	2	3	2	2	3	3	3	3	3	4	3	2	5	4	4	3	4	5	3	4	3	5	3	2	2	4	2	4	2	4	4	4	3	4	4	3	6	3	3	4	3	4	3	4	3	4	3	4	4	3	3	2	3	3	2	2	3	14	21	34	29	31	40
25	21	male	single	no	high school	work	no	0	3	3	3	3	4	5	3	3	2	2	3	2	2	4	4	4	3	2	5	4	5	2	2	5	4	2	4	4	1	4	4	5	5	4	5	5	5	4	3	4	5	1	3	5	2	2	3	3	4	4	4	3	1	4	3	4	2	2	21	17	31	31	36	37
26	26	female	living with partner	yes	undergraduate degree	work	no	0	4	4	4	4	4	4	2	2	3	2	3	4	4	5	3	2	4	1	4	3	1	4	1	2	3	4	1	2	1	4	5	1	1	3	4	5	5	3	4	4	4	3	3	2	2	3	5	4	4	4	4	4	4	3	4	3	2	4	24	20	34	36	38	14
27	48	female	remarried	yes	some additional training	work	no	0	3	3	3	3	4	4	2	3	2	2	3	2	1	4	5	5	4	1	2	3	5	3	5	5	2	3	5	4	2	3	3	5	3	3	5	5	5	1	5	4	5	3	3	5	3	3	2	4	4	4	3	4	2	3	3	4	3	3	20	15	37	33	31	41
28	24	female	single	no	some additional training	work	no	0	3	5	4	4	5	5	2	4	3	3	3	2	1	3	5	4	3	1	4	3	5	4	3	3	2	4	4	3	2	3	4	5	5	6	5	7	5	4	3	3	4	3	2	3	3	2	4	4	4	4	4	4	4	3	3	3	3	4	26	18	31	36	33	37
29	25	male	single	no	undergraduate degree	work	no	0	3	3	4	4	3	4	3	3	4	4	3	3	3	3	1	1	2	2	2	2	2	2	1	3	1	1	1	2	2	2	4	1	1	5	6	5	5	4	1	2	3	2	3	2	1	3	2	1	4	4	4	4	4	3	4	4	3	4	21	23	20	38	21	15
30	47	female	married first time	yes	high school	money/finances	no	0	2	1	2	1	2	4	1	2	2	1	3	2	3	2	4	1	1	1	3	1	2	1	2	4	1	2	1	1	1	1	1	3	3	1	1	1	1	1	3	4	4	3	4	3	2	2	4	3	2	2	3	2	3	1	2	2	1	2	12	14	32	20	14	22
31	18	male	single	no	high school	life in general	no	0	4	5	5	5	5	5	4	2	4	4	2	2	4	1	5	4	5	1	5	5	5	1	5	5	1	2	4	1	1	1	5	1	1	7	7	5	7	1	5	4	2	2	3	1	1	3	1	4	4	4	3	3	4	2	2	1	1	3	29	22	26	27	27	32
32	24	female	married first time	no	some additional training	work	yes	150	2	1	3	1	1	1	2	2	2	2	2	1	1	3	5	4	1	1	1	2	5	1	3	3	1	2	2	2	1	3	2	4	4	2	2	3	1	3	4	4	5	4	4	3	3	4	5	5	3	3	3	3	2	2	2	1	1	3	9	12	41	23	18	32
33	36	male	married first time	yes	some additional training	money/finances	no	0	3	5	3	5	2	4	3	4	2	4	3	2	3	4	2	1	1	1	3	4	1	3	2	2	1	3	1	1	1	3	4	1	1	5	5	5	7	5	2	1	2	1	2	2	2	1	2	1	4	4	4	3	4	3	3	2	4	4	22	21	16	35	27	13
34	49	female	remarried	yes	some secondary school	family	no	0	4	5	4	5	4	5	3	4	4	3	4	4	4	3	3	1	4	1	3	2	1	3	1	2	2	2	1	2	1	2	1	2	1	5	5	5	5	5	2	2	3	2	2	1	2	2	1	1	3	3	4	3	4	3	3	3	4	4	27	26	18	34	24	14
35	21	female	steady relationship	no	undergraduate degree	work	no	0	4	5	3	5	5	4	4	4	4	4	4	4	2	2	1	1	3	1	3	1	4	2	2	3	1	3	1	3	3	2	2	2	2	6	6	6	6	3	2	2	3	2	2	2	2	2	2	2	4	4	4	4	4	4	3	4	4	4	26	26	21	39	22	20
36	45	female	remarried	yes	some additional training	work	yes	30	2	1	2	1	5	5	2	4	4	4	4	4	3	5	1	1	4	1	5	5	1	5	1	1	5	4	1	4	1	5	4	1	1	1	7	7	7	5	2	2	4	1	2	4	2	2	4	4	4	4	4	1	4	4	4	4	4	4	16	25	27	37	46	10
37	18	male	single	no	high school	friendships	no	0	3	2	3	4	3	4	2	4	3	1	4	3	3	2	1	1	2	1	3	3	1	2	1	1	1	1	1	3	1	2	2	1	1	3	6	6	5	5	2	3	2	3	4	2	3	3	3	2	4	4	4	4	3	4	4	3	4	4	19	20	27	38	21	10
38	45	female	remarried	no	some additional training	life in general	no	0	2	3	1	3	3	4	4	2	2	3	3	3	3	2	4	4	3	1	2	2	4	2	1	2	1	1	2	1	1	1	1	3	1	6	6	6	6	6	3	3	3	2	3	3	2	2	4	3	3	3	4	3	3	3	2	2	4	4	16	20	28	31	16	23
39	69	male	married first time	no	some secondary school	health/illness	no	0	4	5	3	3	2	4	3	3	2	2	3	2	2	4	4	4	4	3	4	3	3	3	4	4	1	4	4	2	2	4	4	4	5	6	5	6	3	6	3	4	4	2	2	4	3	3	4	4	4	4	2	3	3	3	3	2	2	3	21	17	33	29	33	37
40	33	male	single	no	undergraduate degree	work	no	0	4	5	4	5	5	5	3	3	3	3	4	4	1	5	5	2	5	2	4	3	3	2	3	5	5	5	2	5	1	5	5	5	3	1	1	1	1	1	4	3	4	2	3	3	3	3	3	3	4	4	3	4	4	4	1	4	3	3	28	21	31	34	44	31
41	24	female	single	no	undergraduate degree	work	no	0	4	5	4	5	5	5	3	4	3	4	3	3	4	5	1	1	4	1	5	5	1	5	1	1	3	3	1	4	1	5	5	1	1	6	7	7	5	6	1	1	2	1	1	1	2	1	1	1	4	4	4	4	4	4	4	4	4	4	28	24	12	40	44	10
42	22	male	living with partner	no	some secondary school	money/finances	yes	150	2	2	2	1	1	2	2	4	4	4	4	3	1	4	1	1	3	2	5	4	2	3	3	2	4	4	2	5	2	5	3	1	1	2	2	3	2	2	3	3	4	4	4	4	2	3	4	3	3	3	3	4	2	2	2	1	1	1	10	22	34	22	40	17
43	43	female	remarried	no	undergraduate degree	work	no	0	2	2	3	3	4	4	2	3	2	2	3	4	3	4	3	1	2	2	4	3	3	4	2	2	1	4	1	1	2	2	3	1	1	2	6	4	3	4	4	3	3	3	4	4	4	4	4	4	3	3	4	3	4	3	3	4	3	2	18	19	37	32	28	18
44	48	female	married first time	no	high school	friendships	no	0	5	5	5	5	5	5	4	4	4	2	4	4	4	4	1	1	5	1	5	4	1	4	1	1	4	4	1	3	1	4	4	1	1	4	6	6	3	3	1	1	1	1	2	1	1	1	2	1	4	4	4	4	4	4	4	4	4	4	30	26	12	40	41	10
45	30	female	single	no	some additional training	work	yes	25	3	3	3	3	3	4	2	3	3	4	3	2	3	4	3	2	4	2	4	5	2	5	3	2	5	4	2	3	2	4	5	4	4	4	5	4	4	3	3	3	4	3	3	4	3	4	4	4	3	4	3	3	3	3	3	3	2	2	19	20	35	29	43	26
46	46	female	remarried	yes	high school	lack of time	no	0	3	1	5	1	3	4	2	4	1	1	4	3	2	3	4	2	1	1	4	5	2	3	4	4	5	4	1	5	1	5	5	5	5	6	6	6	6	6	4	5	5	2	1	5	3	2	5	5	4	4	4	4	3	3	3	1	1	2	17	17	37	29	40	29
47	24	male	steady relationship	no	undergraduate degree	friendships	no	0	2	3	3	4	4	3	3	3	2	3	4	1	2	4	5	4	2	3	2	1	4	4	3	4	2	2	4	3	4	1	1	4	1	3	3	2	3	1	3	4	4	3	4	4	3	4	4	3	4	4	3	3	2	3	2	2	2	2	19	18	36	27	22	36
48	63	male	married first time	no	undergraduate degree	children	no	0	2	5	4	5	5	5	3	3	4	3	3	4	4	5	1	1	3	1	4	4	1	3	1	1	1	3	1	1	1	3	3	1	1	2	6	5	5	2	3	1	1	1	2	2	1	1	2	1	4	4	4	4	4	4	4	3	4	4	26	24	15	39	30	10
49	20	female	single	no	some additional training	health/illness	no	0	3	1	4	2	2	2	1	2	3	3	2	1	2	2	4	3	2	2	3	4	3	2	2	4	2	2	3	2	3	3	2	2	2	1	2	1	1	1	4	4	4	4	5	4	4	4	4	4	2	2	3	2	3	1	1	3	1	1	14	14	41	19	24	28
50	22	female	steady relationship	no	undergraduate degree	work	no	0	1	2	1	2	2	2	2	4	2	4	3	2	3	5	4	4	2	2	5	3	4	2	5	4	4	3	5	4	4	3	3	2	2	4	3	3	5	5	4	4	3	4	3	3	4	4	5	3	4	3	3	3	3	1	2	1	1	1	10	20	37	22	34	36
51	21	female	steady relationship	no	some secondary school	work	no	0	3	4	3	4	4	3	3	3	4	1	4	4	4	4	4	1	1	1	1	4	2	1	1	2	1	2	1	3	1	3	3	1	2	5	3	3	4	4	2	2	3	2	3	1	2	2	2	1	4	4	4	4	4	2	2	1	4	4	21	23	20	33	23	16
52	37	female	married first time	yes	some additional training	money/finances	yes	2	4	4	4	5	5	5	4	4	4	1	4	4	4	5	1	1	4	1	5	4	1	5	1	3	3	5	1	5	1	4	5	1	1	6	6	6	6	5	2	1	2	1	1	1	1	1	2	1	4	4	4	4	1	3	3	4	1	4	27	25	13	32	45	12
53	39	female	married first time	yes	undergraduate degree	family	no	0	2	2	1	1	2	2	1	2	1	1	2	2	2	2	4	1	1	1	3	5	2	1	3	4	1	1	1	1	1	1	3	1	1	4	3	5	3	1	4	3	3	4	4	3	3	4	4	3	3	3	3	2	3	2	1	2	2	3	10	11	35	24	19	19
54	32	male	living with partner	yes	some additional training	work	no	0	3	5	3	4	5	4	4	3	3	4	4	4	3	3	1	1	3	1	3	3	1	4	1	2	3	4	1	3	1	3	4	1	1	5	5	5	5	3	1	1	1	2	2	1	2	2	1	1	4	4	4	4	4	3	4	4	4	4	24	25	14	39	33	11
55	54	male	married first time	no	undergraduate degree	lack of time	no	0	4	5	4	4	2	5	4	4	4	4	4	4	4	4	1	1	2	1	4	4	1	4	1	1	3	3	1	4	1	5	4	2	1	6	6	7	7	7	1	1	2	1	2	1	1	1	2	1	4	4	4	4	4	4	4	4	4	4	24	28	13	40	37	11
56	27	female	married first time	yes	some secondary school	children	no	0	3	3	5	4	1	2	3	4	4	4	4	1	1	5	5	4	3	1	5	4	5	5	2	4	4	5	4	4	1	3	5	4	1	6	7	5	7	4	3	2	4	2	3	4	2	3	4	4	4	4	4	4	4	2	2	1	2	2	18	21	31	29	43	31
57	21	female	single	no	high school	work	no	0	3	3	4	4	3	4	4	2	2	2	2	4	3	4	4	2	5	1	5	5	4	4	3	1	4	3	2	5	4	5	5	5	3	4	5	5	5	4	2	4	4	3	3	2	2	3	3	2	3	4	4	3	4	4	4	4	2	3	21	19	28	35	45	29
58	65	female	divorced	no	some secondary school	life in general	no	0	5	5	5	5	5	5	4	4	4	4	4	4	4	5	1	1	5	1	5	5	2	5	2	2	5	5	1	4	1	4	4	1	1	6	6	6	6	6	3	2	3	4	3	2	2	2	3	3	4	4	4	4	4	4	4	4	4	4	30	28	27	40	47	13
59	32	female	married first time	no	some additional training		no	0	3	3	4	4	5	4	4	4	4	4	4	3	3	4	2	1	1	1	3	4	1	4	1	3	1	1	1	1	1	1	1	1	1	4	4	4	3	2	2	2	2	2	3	2	3	3	2	2	4	4	4	2	4	4	3	2	3	4	23	26	23	34	21	13
60	42	female	married first time	yes	some additional training	money/finances	no	0	4	2	3	3	3	3	2	4	3	3	2	3	3	2	3	1	1	1	1	2	2	2	1	3	2	3	1	1	1	2	3	1	1	3	4	4	1	2	2	3	2	2	4	3	3	3	2	2	4	4	4	3	1	4	3	4	3	4	18	20	26	34	19	15
61	38	male	single	no	undergraduate degree	life in general	no	0	4	2	5	3	1	4	1	4	3	3	4	3	1	5	1	1	4	4	5	5	2	5	5	4	5	5	1	5	1	5	5	2	2	5	4	3	4	2	3	2	3	1	2	3	3	2	3	3	4	4	3	3	4	4	3	1	1	1	19	19	25	28	49	23
62	26	female	single	no	some additional training		no	0	2	5	4	2	2	4	2	3	4	3	3	3	2	2	2	1	2	1	3	4	1	3	1	2	1	2	1	1	1	3	1	1	1	5	5	4	4	2	3	2	3	2	3	3	3	3	4	3	4	4	3	4	4	4	4	4	3	4	19	20	29	38	22	12
63	52	female	remarried	yes	some additional training	lack of time	no	0	4	5	4	5	5	5	2	3	2	2	3	3	4	4	1	2	4	1	5	5	1	4	1	1	5	4	2	4	1	5	4	2	1	7	7	7	7	6	2	5	3	1	2	4	4	2	2	4	4	4	4	3	4	4	4	4	4	4	28	19	29	39	44	13
64	36	female	steady relationship	no	high school	work	no	0	3	2	2	2	3	3	2	2	3	3	3	2	2	2	4	3	2	1	2	1	4	2	3	3	2	2	2	2	2	2	3	5	5	5	5	5	4	2	4	5	5	4	4	3	4	3	3	4	3	3	3	3	3	3	3	2	3	2	15	17	39	28	20	32
65	60	female	married first time	yes	graduate degree	family	no	0	5	2	4	5	5	5	1	2	1	1	2	1	2	4	5	4	2	1	3	3	4	2	3	4	3	4	4	3	3	3	5	4	4	6	3	6	6	2	5	4	4	2	3	4	3	3	4	4	3	3	3	3	4	3	3	2	2	2	26	10	36	28	32	36
66	33	female	married first time	yes	some secondary school	children	no	0	1	1	1	1	1	5	1	2	1	1	4	1	1	3	5	5	1	1	1	5	5	1	1	5	5	1	1	4	5	5	1	5	1	1	2	2	3	1	3	5	5	4	5	2	5	5	1	5	1	2	1	3	1	2	1	1	1	1	10	11	40	14	27	34
67	54	male	married first time	no	some secondary school		no	0	3	3	3	4	4	3	2	2	2	3	2	2	3	4	3	4	4	2	3	5	2	3	4	4	3	3	4	5	3	4	3	4	3	5	6	3	3	2	3	3	3	3	3	2	3	3	4	2	4	4	2	3	2	3	3	3	3	4	20	16	29	31	37	33
68	68	female	divorced	no	high school	family	no	0	5	5	5	5	5	5	4	4	4	4	4	4	4	4	1	1	3	1	5	5	1	3	1	1	5	5	1	2	1	3	5	1	1	7	7	7	7	7	3	1	1	1	1	1	1	1	2	1	4	4	4	4	4	4	4	4	4	4	30	28	13	40	40	10
69	66	female	married first time	no	some secondary school	health/illness	no	0	5	3	4	5	5	4	2	3	1	1	4	2	2	5	2	1	4	1	3	3	1	4	1	2	3	3	2	4	1	4	4	3	1	6	6	7	7	6	4	3	3	3	4	3	3	3	3	4	4	4	4	3	4	4	4	4	4	4	26	15	33	39	37	15
70	24	female	living with partner	no	undergraduate degree	life in general	yes	210	5	5	4	5	5	4	3	4	4	4	4	4	4	4	1	1	4	1	5	5	1	4	1	1	3	4	1	2	1	3	4	1	1	4	6	6	7	2	2	1	4	3	2	5	2	4	2	4	4	4	4	4	4	4	4	4	4	4	28	27	29	40	38	10
71	38	female	single	no	graduate degree	work	no	0	3	5	4	5	5	5	4	4	4	4	4	3	4	5	2	2	3	1	5	4	1	4	1	2	1	4	2	5	2	5	4	2	1	4	5	6	5	4	2	1	2	1	1	2	1	1	3	1	4	4	4	3	4	4	3	4	3	4	27	27	15	37	40	16
72	57	female	married first time	no	some additional training	money/finances	no	0	3	4	5	4	4	4	3	4	3	3	4	1	1	5	1	1	3	1	3	5	1	3	1	1	3	4	1	3	1	3	5	1	1	5	6	4	4	4	3	3	2	2	3	4	3	3	3	3	4	4	3	4	2	4	2	2	1	1	24	19	29	27	37	10
73	50	male	separated	yes	graduate degree	spouse/partner	no	0	3	5	2	3	2	3	3	3	3	3	1	2	3	1	5	3	1	1	3	4	5	3	1	2	1	3	4	2	3	2	3	4	4	2	2	2	2	2	1	4	4	2	3	5	2	4	2	4	4	4	2	4	4	3	3	2	3	3	18	18	31	32	23	32
74	50	male	married first time	yes	graduate degree	work	no	0	3	4	3	4	4	4	4	2	1	4	3	2	3	2	4	3	2	2	3	1	4	1	1	2	1	3	4	3	2	2	1	3	2	3	4	1	3	3	3	3	5	2	2	4	2	3	2	4	2	4	3	2	4	1	2	1	2	2	22	19	30	23	19	27
75	24	female	single	no	some additional training	life in general	yes	150	1	4	4	2	3	3	3	3	2	4	4	3	1	3	1	1	2	2	3	3	2	3	1	2	2	1	1	3	1	2	3	1	1	2	2	3	5	7	3	4	3	3	3	2	3	3	4	3	3	2	3	3	3	2	2	1	1	3	17	20	31	23	25	13
76	46	female	married first time	yes	some secondary school	money/finances	no	0	3	2	5	4	2	4	4	3	2	3	4	3	4	5	5	4	3	2	3	4	4	4	3	3	1	2	3	2	1	3	3	3	1	6	6	6	6	6	4	3	3	2	2	4	2	2	2	1	4	4	4	3	4	4	4	4	4	4	20	23	25	39	30	29
77	70	female	married first time	no	some secondary school	spouse/partner	no	0	5	5	5	5	5	5	2	3	3	1	4	1	1	4	5	1	4	1	2	5	5	4	1	1	3	4	1	1	1	2	3	4	4	2	2	2	2	2	5	5	4	2	3	5	2	3	5	4	4	4	1	3	1	4	4	1	2	3	30	15	38	27	32	24
78	30	female	married first time	yes	some secondary school	family	no	0	2	2	5	2	3	4	1	3	1	4	4	2	4	3	1	4	4	1	2	4	1	3	1	2	1	1	3	4	1	1	3	3	1	5	6	7	7	2	1	1	4	2	2	2	2	2	2	2	4	4	4	4	4	3	3	1	4	4	18	19	20	35	26	18
79	21	female	single	no	high school	work	no	0	4	3	3	4	3	4	3	3	2	3	2	2	3	3	4	4	1	2	4	3	4	2	2	4	3	3	4	4	4	3	3	4	3	3	6	5	5	5	3	3	5	3	3	3	4	4	4	4	4	4	4	3	3	3	3	3	2	2	21	18	36	31	29	35
80	46	female	living with partner	no	some additional training	work	no	0	1	1	1	2	1	2	1	2	1	1	2	1	1	3	3	2	4	1	3	4	3	1	4	4	2	2	2	3	4	2	3	2	1	3	3	3	5	3	3	4	4	4	3	5	4	4	4	4	3	3	3	2	2	2	2	2	1	1	8	9	39	21	27	26
81	58	male	married first time	yes	graduate degree	money/finances	no	0	4	5	4	5	5	4	3	4	4	4	4	4	4	3	1	1	5	1	4	4	1	4	1	1	4	4	1	4	1	4	4	1	1	7	7	7	7	7	1	1	1	4	2	1	1	1	1	1	4	4	4	4	4	4	4	4	3	1	27	27	14	36	40	10
82	23	female	single	no	some additional training	work	no	0	3	4	5	3	4	4	3	4	2	3	3	2	2	4	4	4	4	1	4	3	4	4	1	3	4	3	4	4	1	4	3	4	4	3	4	5	6	4	3	2	4	2	2	2	3	3	3	2	3	4	4	3	4	3	3	4	3	3	23	19	26	34	37	30
83	49	male	married first time	no	graduate degree	work	no	0	3	2	3	2	3	3	3	3	1	3	3	3	2	4	4	3	2	2	4	4	3	3	4	4	2	3	3	3	3	3	3	4	4	2	2	2	2	1	3	3	3	3	3	3	3	4	4	3	4	4	3	3	3	3	3	2	1	3	16	18	32	29	31	34
84	25	female	single	no	undergraduate degree	lack of time	yes	10	4	4	4	5	3	3	3	3	3	3	3	4	4	4	1	1	3	2	2	4	3	4	2	2	3	4	1	4	2	4	4	3	3	6	6	6	6	6	3	2	3	1	1	3	1	1	1	2	4	4	4	4	4	4	4	4	3	4	23	23	18	39	36	20
85	33	male	single	no	some additional training	life in general	yes	200	4	5	4	4	4	5	3	3	2	2	3	4	3	4	1	2	3	1	4	3	1	4	1	3	3	3	1	4	2	3	3	1	1	5	5	5	5	5	1	1	2	1	2	2	1	2	2	2	4	4	4	4	4	3	3	4	4	4	26	20	16	38	34	14
86	32	male	married first time	yes	some additional training	spouse/partner	no	0	3	3	3	3	3	3	2	3	3	3	3	3	3	4	2	1	4	1	4	4	1	1	1	2	3	3	1	1	1	2	2	1	1	6	6	6	6	6	3	3	3	3	3	2	3	3	4	3	3	3	3	3	3	3	3	3	3	3	18	20	30	30	28	12
87	42	male	married first time	yes	some secondary school	life in general	no	0	4	2	4	5	5	4	4	3	4	4	3	4	4	4	1	1	3	1	3	3	1	3	1	1	2	4	1	3	1	2	4	1	1	5	5	5	6	5	1	2	2	2	2	1	2	2	2	1	3	4	4	4	4	4	3	4	3	3	24	26	17	36	31	10
